,0
cy,0.15873325442441683
hp,-0.3013893959547596
we,-3.4232711208560582
le,-1.406652138150437
wi,3.2279214461202796
he,-0.2172833479064721
li,-0.34037158519762867
sp,-0.45802598004218564
ac,-0.06178906722977464
pr,0.10426144626894428
brand_1,1.5461501269816706
brand_2,0.24321815534907223
brand_3,1.0811659862301695
brand_4,0.5115814384632074
brand_5,0.7815883444373007
brand_6,0.5619596210055884
brand_7,1.1336027013196197
brand_8,0.37829577185223184
brand_9,-0.39764847756967014
brand_10,1.445379322441136
brand_11,0.8350458042316714
brand_12,1.3445692083672958
brand_13,0.9406638517742174
brand_14,-0.873032108766755
brand_15,-0.2919726995552935
brand_16,0.18771922093786317
brand_17,1.1267082601767922
brand_18,1.9366664114039314
brand_19,0.7281670176540163
brand_20,1.57120681930393
brand_21,1.059785768739334
brand_22,1.0437136216568343
brand_23,1.0352958328753041
brand_24,0.7275255611297836
brand_25,-0.6178688239185892
brand_26,-0.27319813527275155
brand_27,0.7857177268853106
brand_28,-0.13179416041057204
brand_29,0.47993252450419643
brand_30,0.3595112341236123
brand_31,0.03922079343186397
brand_32,1.0592685766625953
brand_33,0.29072254769483397
brand_34,0.1716208995275512
brand_35,1.6114023192509712
brand_36,0.12706299153759928
org_1,-1.060141441232297
org_2,-1.2449128960155484
org_3,-0.06880628654990152
org_4,-1.3938572406527983
org_5,-0.27319813527306275
org_6,0.3609747139907505
org_7,-1.007606271259734
org_8,0.37829577185132907
org_9,-0.13179416040975558
loc_1,0.2426594474285221
loc_2,-0.13179416041064076
loc_3,-0.06036109838342907
loc_4,-0.09146013582161568
loc_5,0.40541825062435044
loc_6,-0.05446839488579036
loc_7,-0.21770614646259848
loc_8,-0.2759549539018261
loc_10,-0.03420344937610342
loc_11,-0.029093609884483215
loc_12,0.6568005913288633
loc_15,0.27756278043910054
loc_16,-0.41133315798962167
loc_20,0.2828880917444745
cla_1,-1.4621904957224092
cla_2,-1.5817174883795686
cla_3,-1.4356850947313662
cla_4,-1.9820318951440956
cla_5,-1.979420971567682
home_1,-5.632340107004271
home_2,-5.808705838541637
group outside/inside option,0.38317760052594907
group_cy,-0.024559943310848206
group_hp,0.05348450839686631
group_we,0.0037148060826879474
group_le,0.03215968167421332
group_wi,-0.026842107126822987
group_he,0.03278273338477039
group_li,0.05617686858883725
group_sp,0.020280099330756682
group_ac,0.03273147907883218
group_brand_1,0.23862447931430503
group_brand_2,-0.04363555378360613
group_brand_3,0.27945667619190073
group_brand_4,0.06360468920254124
group_brand_5,0.22171259327289658
group_brand_6,0.09788458054938123
group_brand_7,-0.0729346800235474
group_brand_8,-0.0016754243321213517
group_brand_9,-0.009792109953667234
group_brand_10,0.03932944955329873
group_brand_11,0.30398823431928196
group_brand_12,0.03960967602651972
group_brand_13,-0.07696138528557221
group_brand_14,0.027428983691448233
group_brand_15,-0.039820864426190525
group_brand_16,0.04608349439018428
group_brand_17,0.018105235601989757
group_brand_18,0.2275563866784101
group_brand_19,-0.005166138630923855
group_brand_20,-0.018408427354644364
group_brand_21,0.274732391948928
group_brand_22,0.09007275940162783
group_brand_23,0.08551182178410882
group_brand_24,0.24857865116141842
group_brand_25,0.06915228515313103
group_brand_26,0.048388652348066816
group_brand_27,-0.09640757428434842
group_brand_28,-0.005984260062587581
group_brand_29,-0.1514338574063292
group_brand_30,-0.013323827701319986
group_brand_31,0.08519611677302431
group_brand_32,0.053397520084105775
group_brand_33,-0.05867001718302798
group_brand_34,0.0871357862241578
group_brand_35,0.00634719538920658
group_brand_36,0.08709912700622431
group_org_1,0.123018757328419
group_org_2,-0.036706928405288636
group_org_3,-0.09768457182684258
group_org_4,0.24081218758973616
group_org_5,0.04838865234804771
group_org_6,-0.08266351919457741
group_org_7,-0.13910173882806948
group_org_8,-0.001675424332119166
group_org_9,-0.00598426006258764
group_loc_1,-0.08138928914401161
group_loc_2,-0.005984260062558213
group_loc_3,-0.06637777799202234
group_loc_4,-0.09767236406107083
group_loc_5,-0.17949590691465392
group_loc_6,-0.2451113099802759
group_loc_7,-0.10819549093159594
group_loc_8,0.005953492982729459
group_loc_10,-0.11110469329346624
group_loc_11,0.0234345294952175
group_loc_12,-0.2643312585422633
group_loc_15,-0.15489304895363218
group_loc_16,-0.09121314021933079
group_loc_20,-0.1882837228408688
group_cla_1,-0.1426579547727116
group_cla_2,-0.12745952785726058
group_cla_3,-0.13883116240387036
group_cla_4,-0.13333176774437128
group_cla_5,-0.14177906101239546
group_home_1,-0.46340296519624274
group_home_2,-0.07112340514025088
