,0
price_to_inc,-0.10274522709813202
range,0.2058317169676515
acceleration,-0.38048698589276425
top_speed,0.12461361081131875
pollution,-0.2319827968482043
size,0.4498170009834483
big_enough,0.09013463956427671
luggage_space,0.37544403789370767
operating_cost,-0.43076434217103193
station_availability,0.25915871514089556
suv,0.32321156952346497
sports_car,0.25180772928023587
station_wagon,-0.5365404143775346
truck,-0.39302742062578955
van,-0.29127420624840117
ev,-0.3724883154158874
commute_x_ev,0.12913877761184753
college_x_ev,0.29692441860419416
cng,0.0980710903442341
methanol,0.15213347720092646
college_x_methanol,0.11261258080768151
group ev,0.3243124137588379
group cng,0.22919670716480453
group methanol,0.09031152912751013
